SPECIES,XCO,YCO,DBH2021,GROWTH1921,CLASS2021
PAYELU,40,139.6,17.5,-0.2,3
DIOSSI,62.2,124.6,16.8,-0.4,3
DIPTC1,77.2,132.3,14.6,-0.3,3
DRYPLO,70.6,127.8,11.5,0,3
XERONO,82.5,137.6,23.3,0,4
MONOMA,83,149,18.9,0,3
BACCKU,73.8,148.2,13,0,3
MACAHO,75.6,150,22.4,0,4
XANTEU,53.5,140.2,17,0,3
EUGECL,43.6,144.2,14.6,-0.5,3
EUGEDU,56.4,150.9,20.4,0,4
PAYELU,57.2,148.8,10.8,0,3
HOPEDR,14.4,168.4,11,-0.1,3
XANTEU,30.7,161.2,13.6,-0.2,3
HOPEME,28.4,163.8,24,-8.4,4
POMEPA,43.7,168.4,13.8,-0.1,3
PTEREC,45.8,172.7,25.4,-0.2,4
SHORP2,52.4,177,12.8,0,3
EUGECL,55.3,179.4,11.8,-0.1,3
KIBAAR,59.9,165,12.7,-0.1,3
APORNI,57.3,160,14.1,-0.4,3
XERONO,70.1,163.1,24.6,-0.9,4
PORTAN,65,172,11.6,-0.5,3
DACRR1,73.3,173.5,11.8,-0.8,3
APORAU,74.4,170.4,10.6,-0.1,3
ALANEB,74.1,169,10.8,-0.3,3
DACRR1,80.2,169.6,20.1,-0.2,4
CYNOMA,85.4,168.3,14.1,-0.7,3
SARADE,87.5,171.7,17.3,-0.2,3
SARADE,94.9,196.7,18.1,-0.4,3
SARADE,89.4,199.6,13,-0.1,3
SARADE,87.8,199.8,10.1,-0.1,3
SARADE,95.2,188.4,20.6,-0.8,4
MILLAT,61.4,196.4,11.1,0,3
EUGEDE,63.1,193.2,12.6,0,3
APORBR,61.3,199.8,11.8,-0.1,3
MEL1TO,76.5,193.3,11,-0.1,3
ARTOSC,68.4,190.3,21,0,4
CROTAR,73.8,182.8,15.1,-0.9,3
DRYPLO,49.2,184,20.9,0,4
ALANRI,45.7,189.7,27.5,0,4
CYNOMA,49.7,199.3,20,0,4
EUGESD,27.2,190,13.8,0,3
POL1HY,36.9,184.4,13.9,-0.1,3
XYLOFS,10.2,197.9,29.3,-0.3,4
